日付,キャンペーン名,広告グループ名,ターゲティング,マッチタイプ,カスタマーの検索キーワード,インプレッション,クリック,クリックスルー率 (CTR),平均クリック単価 (CPC),費用,広告がクリックされてから7日間の総売上高,広告費売上高比率（ACOS）合計,広告費用対効果（ROAS）合計,広告がクリックされてから7日間の合計注文数,広告がクリックされてから7日間の合計販売数,広告がクリックされてから7日間のコンバージョン率,広告がクリックされてから7日間の広告された SKU の販売数,広告がクリックされてから7日間のその他の SKUの販売数,広告がクリックされてから7日間の広告された SKU の売上,広告がクリックされてから7日間のその他の SKU の売上
"Apr 06, 2025",キャンペーン - 2025/3/25 19:06:41.618,関連商品 - 2025/3/25 19:06:34.222,"asin-expanded=""B0C2TQ24VY""",-,b083nthvjv,3,1,33.3333%,¥50.00,¥50.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 06, 2025",キャンペーン - 2025/3/25 19:06:41.618,関連商品 - 2025/3/25 19:06:34.222,"asin-expanded=""B0C2TQ24VY""",-,b0c2tq24vy,4,1,25.0000%,¥50.00,¥50.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 06, 2025",キャンペーン - 2025/3/25 19:06:41.618,関連商品 - 2025/3/25 19:06:34.222,"asin-expanded=""B0D8J31NVZ""",-,b0cb879x1h,84,1,1.1905%,¥107.00,¥107.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 06, 2025",キャンペーン - 2025/3/25 19:06:41.618,関連商品 - 2025/3/25 19:06:34.222,"asin-expanded=""B0D8J31NVZ""",-,b0ch563twn,5,1,20.0000%,¥100.00,¥100.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 06, 2025",キャンペーン - 2025/3/25 19:06:41.618,関連商品 - 2025/3/25 19:06:34.222,"asin-expanded=""B0D8J31NVZ""",-,b0d8j31nvz,14,1,7.1429%,¥59.16,¥59.16,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 06, 2025",キャンペーン - 2025/3/25 19:06:41.618,関連商品 - 2025/3/25 19:06:34.222,"asin-expanded=""B0BYWNBH5D""",-,b0bywnbh5d,31,1,3.2258%,¥122.00,¥122.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 06, 2025",キャンペーン - 2025/3/25 19:06:41.618,関連商品 - 2025/3/25 19:06:34.222,"asin-expanded=""B0BYWNBH5D""",-,b0d99mmjry,3,1,33.3333%,¥122.00,¥122.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 06, 2025",キャンペーン - 2025/3/25 19:06:41.618,関連商品 - 2025/3/25 19:06:34.222,"asin-expanded=""B0C6JP8YLC""",-,b0dsvhtvl4,53,2,3.7736%,¥50.00,¥100.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 04, 2025",美容液 - 2025/3/30 1:29:14.608,0330　アゼライン酸　美容液,"asin-expanded=""B0DCGDL4LZ""",-,b08hjd4fbp,258,3,1.1628%,¥130.00,¥390.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 06, 2025",キャンペーン - 2025/3/25 19:06:41.618,関連商品 - 2025/3/25 19:06:34.222,"asin-expanded=""B0C33BM6T1""",-,b0dx6sw18t,239,1,0.4184%,¥50.00,¥50.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 06, 2025",キャンペーン - 2025/3/25 19:06:41.618,関連商品 - 2025/3/25 19:06:34.222,"asin-expanded=""B084XPFWW8""",-,b084xpfww8,56,1,1.7857%,¥50.00,¥50.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 06, 2025",キャンペーン - 2025/3/25 19:06:41.618,関連商品 - 2025/3/25 19:06:34.222,"asin-expanded=""B08HGZ5XPH""",-,b0c8jdqhk2,21,2,9.5238%,¥92.00,¥184.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 06, 2025",キャンペーン - 2025/3/25 19:06:41.618,関連商品 - 2025/3/25 19:06:34.222,"asin-expanded=""B08HGZ5XPH""",-,b0d3pt6ryv,5,1,20.0000%,¥92.00,¥92.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 06, 2025",キャンペーン - 2025/3/25 19:06:41.618,関連商品 - 2025/3/25 19:06:34.222,"asin-expanded=""B0CHRQ5VB1""",-,b07qm5kgdk,81,2,2.4691%,¥163.00,¥326.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 06, 2025",キャンペーン - 2025/3/25 19:06:41.618,関連商品 - 2025/3/25 19:06:34.222,"asin-expanded=""B0CHRQ5VB1""",-,b083nthvjv,223,2,0.8969%,¥159.03,¥318.05,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 06, 2025",キャンペーン - 2025/3/25 19:06:41.618,関連商品 - 2025/3/25 19:06:34.222,"asin-expanded=""B0CHRQ5VB1""",-,b08h27m24v,574,3,0.5226%,¥157.98,¥473.93,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 06, 2025",キャンペーン - 2025/3/25 19:06:41.618,関連商品 - 2025/3/25 19:06:34.222,"asin-expanded=""B0CHRQ5VB1""",-,b0b6zq6xkc,67,1,1.4925%,¥163.00,¥163.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 06, 2025",キャンペーン - 2025/3/25 19:06:41.618,関連商品 - 2025/3/25 19:06:34.222,"asin-expanded=""B0CHRQ5VB1""",-,b0c851wqfj,539,3,0.5566%,¥138.41,¥415.24,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 06, 2025",キャンペーン - 2025/3/25 19:06:41.618,関連商品 - 2025/3/25 19:06:34.222,"asin-expanded=""B0CHRQ5VB1""",-,b0cc5qpt88,830,1,0.1205%,¥163.00,¥163.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 06, 2025",キャンペーン - 2025/3/25 19:06:41.618,関連商品 - 2025/3/25 19:06:34.222,"asin-expanded=""B0CHRQ5VB1""",-,b0chrq5vb1,124,1,0.8065%,¥163.00,¥163.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 06, 2025",キャンペーン - 2025/3/25 19:06:41.618,関連商品 - 2025/3/25 19:06:34.222,"asin-expanded=""B0CHRQ5VB1""",-,b0d59675p4,481,10,2.0790%,¥143.95,"¥1,439.46",¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 06, 2025",美容液 - 2025/3/30 1:29:14.608,0330　アゼライン酸　美容液,"asin-expanded=""B0DG29FZNJ""",-,b0dhxk66wk,109,2,1.8349%,¥100.00,¥200.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 06, 2025",美容液 - 2025/3/30 1:29:14.608,0330　アゼライン酸　美容液,"asin-expanded=""B0DG29FZNJ""",-,b0dnyqvnvv,1,1,100.0000%,¥100.00,¥100.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
