日付,キャンペーン名,広告グループ名,ターゲティング,マッチタイプ,カスタマーの検索キーワード,インプレッション,クリック,クリックスルー率 (CTR),平均クリック単価 (CPC),費用,広告がクリックされてから7日間の総売上高,広告費売上高比率（ACOS）合計,広告費用対効果（ROAS）合計,広告がクリックされてから7日間の合計注文数,広告がクリックされてから7日間の合計販売数,広告がクリックされてから7日間のコンバージョン率,広告がクリックされてから7日間の広告された SKU の販売数,広告がクリックされてから7日間のその他の SKUの販売数,広告がクリックされてから7日間の広告された SKU の売上,広告がクリックされてから7日間のその他の SKU の売上
"Apr 05, 2025",美容液 - 2025/3/30 1:29:14.608,0330　アゼライン酸　美容液,"asin-expanded=""B0DCGDL4LZ""",-,b0d543dc95,60,1,1.6667%,¥120.00,¥120.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 05, 2025",美容液 - 2025/3/30 1:29:14.608,0330　アゼライン酸　美容液,"asin-expanded=""B0DCGDL4LZ""",-,b0d8j31nvz,276,2,0.7246%,¥120.00,¥240.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 05, 2025",美容液 - 2025/3/30 1:29:14.608,0330　アゼライン酸　美容液,"asin-expanded=""B0DCGDL4LZ""",-,b0dg29fznj,207,1,0.4831%,¥120.00,¥120.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 05, 2025",美容液 - 2025/3/30 1:29:14.608,0330　アゼライン酸　美容液,"asin-expanded=""B0DCGDL4LZ""",-,b0dpj1jt8y,13,1,7.6923%,¥120.00,¥120.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 05, 2025",美容液 - 2025/3/30 1:29:14.608,0330　アゼライン酸　美容液,"asin-expanded=""B0DCGDL4LZ""",-,b0dqcj9t9n,71,1,1.4085%,¥120.00,¥120.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 05, 2025",美容液 - 2025/3/30 1:29:14.608,0330　アゼライン酸　美容液,"asin-expanded=""B0DCGDL4LZ""",-,アゼライン酸,48,2,4.1667%,¥125.00,¥250.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 05, 2025",美容液 - 2025/3/30 1:29:14.608,0330　アゼライン酸　美容液,"asin-expanded=""B0DCGDL4LZ""",-,アゼライン酸 グリシルグリシン,3,1,33.3333%,¥120.00,¥120.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 05, 2025",検索ワード - 2025/3/30 3:49:42.662,毛穴グループ - 2025/3/30 3:49:36.820,ニキビ,PHRASE,ニキビ 速攻,1,1,100.0000%,¥50.00,¥50.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 05, 2025",検索ワード - 2025/3/30 3:49:42.662,毛穴グループ - 2025/3/30 3:49:36.820,肌荒れ,PHRASE,肌荒れ 薬,21,1,4.7619%,¥50.00,¥50.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 05, 2025",検索ワード - 2025/3/30 3:49:42.662,毛穴グループ - 2025/3/30 3:49:36.820,毛穴,PHRASE,毛穴 デコボコ,3,1,33.3333%,¥50.00,¥50.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 05, 2025",検索ワード - 2025/3/30 3:49:42.662,毛穴グループ - 2025/3/30 3:49:36.820,グリシルグリシン,EXACT,グリシルグリシン,2044,4,0.1957%,¥136.42,¥545.66,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 05, 2025",検索ワード - 2025/3/30 3:49:42.662,毛穴グループ - 2025/3/30 3:49:36.820,毛穴ケア,EXACT,毛穴ケア,670,3,0.4478%,¥144.66,¥433.97,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 04, 2025",キャンペーン - 2025/3/25 19:06:41.618,関連商品 - 2025/3/25 19:06:34.222,"asin-expanded=""B0CLXQFNNH""",-,himico men,2,1,50.0000%,¥50.00,¥50.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 04, 2025",キャンペーン - 2025/3/25 19:06:41.618,関連商品 - 2025/3/25 19:06:34.222,"asin-expanded=""B0CTYX8HB6""",-,b0bwx4tcy7,83,2,2.4096%,¥100.00,¥200.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 04, 2025",キャンペーン - 2025/3/25 19:06:41.618,関連商品 - 2025/3/25 19:06:34.222,"asin-expanded=""B0CTYX8HB6""",-,b0ctyx8hb6,16,1,6.2500%,¥100.00,¥100.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 04, 2025",キャンペーン - 2025/3/25 19:06:41.618,関連商品 - 2025/3/25 19:06:34.222,"asin-expanded=""B0CTYX8HB6""",-,b0d59675p4,162,4,2.4691%,¥94.83,¥379.30,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 04, 2025",キャンペーン - 2025/3/25 19:06:41.618,関連商品 - 2025/3/25 19:06:34.222,"asin-expanded=""B0CTYX8HB6""",-,ケアナボーテ,18,1,5.5556%,¥100.00,¥100.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 04, 2025",キャンペーン - 2025/3/25 19:06:41.618,関連商品 - 2025/3/25 19:06:34.222,"asin-expanded=""B0D8J31NVZ""",-,ダーマエイド,45,2,4.4444%,¥97.14,¥194.28,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 03, 2025",美容液 - 2025/3/30 1:29:14.608,0330　アゼライン酸　美容液,"asin-expanded=""B07QM5KGDK""",-,b08hjd4fbp,679,12,1.7673%,¥133.16,"¥1,597.94","¥3,164.00",50.5038%,1.98,1,1,8.3333%,1,0,"¥3,164.00",¥0.00
"Apr 04, 2025",キャンペーン - 2025/3/25 19:06:41.618,関連商品 - 2025/3/25 19:06:34.222,"asin-expanded=""B0C8JDQHK2""",-,b0c851wqfj,5,1,20.0000%,¥50.00,¥50.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 04, 2025",キャンペーン - 2025/3/25 19:06:41.618,関連商品 - 2025/3/25 19:06:34.222,"asin-expanded=""B084XPFWW8""",-,毛穴レスコンシーラー,1,1,100.0000%,¥50.00,¥50.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 04, 2025",キャンペーン - 2025/3/25 19:06:41.618,関連商品 - 2025/3/25 19:06:34.222,"asin-expanded=""B08HGZ5XPH""",-,b07hp1mt8y,14,1,7.1429%,¥92.00,¥92.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 04, 2025",キャンペーン - 2025/3/25 19:06:41.618,関連商品 - 2025/3/25 19:06:34.222,"asin-expanded=""B08HGZ5XPH""",-,b0bw8jsmnr,18,1,5.5556%,¥92.00,¥92.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 04, 2025",キャンペーン - 2025/3/25 19:06:41.618,関連商品 - 2025/3/25 19:06:34.222,"asin-expanded=""B08HGZ5XPH""",-,white heads removal products,1,1,100.0000%,¥92.00,¥92.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 04, 2025",キャンペーン - 2025/3/25 19:06:41.618,関連商品 - 2025/3/25 19:06:34.222,"asin-expanded=""B08HGZ5XPH""",-,ぽっかり毛穴,2,1,50.0000%,¥92.00,¥92.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 04, 2025",美容液 - 2025/3/30 1:29:14.608,0330　アゼライン酸　美容液,"asin-expanded=""B0DG29FZNJ""",-,b0d5hhxqgk,11,1,9.0909%,¥100.00,¥100.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 04, 2025",美容液 - 2025/3/30 1:29:14.608,0330　アゼライン酸　美容液,"asin-expanded=""B0DGXH871T""",-,b0dchxmsng,1,1,100.0000%,¥50.00,¥50.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 04, 2025",美容液 - 2025/3/30 1:29:14.608,0330　アゼライン酸　美容液,"asin-expanded=""B0DGXH871T""",-,ふきでもの 薬,1,1,100.0000%,¥46.24,¥46.24,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 04, 2025",美容液 - 2025/3/30 1:29:14.608,0330　アゼライン酸　美容液,"asin-expanded=""B09M2XFRCF""",-,b09qckfgkm,4,1,25.0000%,¥114.00,¥114.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 04, 2025",美容液 - 2025/3/30 1:29:14.608,0330　アゼライン酸　美容液,"asin-expanded=""B09M2XFRCF""",-,b0bf55nwbf,13,1,7.6923%,¥120.00,¥120.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 04, 2025",美容液 - 2025/3/30 1:29:14.608,0330　アゼライン酸　美容液,"asin-expanded=""B09M2XFRCF""",-,b0bywnbh5d,302,3,0.9934%,¥94.45,¥283.35,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 04, 2025",美容液 - 2025/3/30 1:29:14.608,0330　アゼライン酸　美容液,"asin-expanded=""B09M2XFRCF""",-,b0c851wqfj,319,1,0.3135%,¥120.00,¥120.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 04, 2025",美容液 - 2025/3/30 1:29:14.608,0330　アゼライン酸　美容液,"asin-expanded=""B09M2XFRCF""",-,ニキビケア コンシーラー,3,1,33.3333%,¥120.00,¥120.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 04, 2025",美容液 - 2025/3/30 1:29:14.608,0330　アゼライン酸　美容液,"asin-expanded=""B09M2XFRCF""",-,舞妓 メイク,1,1,100.0000%,¥120.00,¥120.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 04, 2025",美容液 - 2025/3/30 1:29:14.608,0330　アゼライン酸　美容液,"asin-expanded=""B07QM5KGDK""",-,b07hmwj33l,35,1,2.8571%,¥140.00,¥140.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 04, 2025",美容液 - 2025/3/30 1:29:14.608,0330　アゼライン酸　美容液,"asin-expanded=""B07QM5KGDK""",-,b07qm5kgdk,624,11,1.7628%,¥139.07,"¥1,529.81",¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 03, 2025",キャンペーン - 2025/3/25 19:06:41.618,関連商品 - 2025/3/25 19:06:34.222,"asin=""B08HJD4FBP""",-,b08hjd4fbp,419,8,1.9093%,¥96.25,¥770.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 04, 2025",美容液 - 2025/3/30 1:29:14.608,0330　アゼライン酸　美容液,"asin-expanded=""B07QM5KGDK""",-,b09m2xfrcf,1093,4,0.3660%,¥136.50,¥546.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 04, 2025",美容液 - 2025/3/30 1:29:14.608,0330　アゼライン酸　美容液,"asin-expanded=""B07QM5KGDK""",-,b0c6jp8ylc,474,3,0.6329%,¥139.41,¥418.24,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 04, 2025",美容液 - 2025/3/30 1:29:14.608,0330　アゼライン酸　美容液,"asin-expanded=""B07QM5KGDK""",-,b0c7mdn8lw,336,1,0.2976%,¥140.00,¥140.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 04, 2025",美容液 - 2025/3/30 1:29:14.608,0330　アゼライン酸　美容液,"asin-expanded=""B07QM5KGDK""",-,b0cp583mx1,428,5,1.1682%,¥134.68,¥673.41,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 04, 2025",美容液 - 2025/3/30 1:29:14.608,0330　アゼライン酸　美容液,"asin-expanded=""B07QM5KGDK""",-,b0csn8y66f,179,1,0.5587%,¥140.00,¥140.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 04, 2025",美容液 - 2025/3/30 1:29:14.608,0330　アゼライン酸　美容液,"asin-expanded=""B07QM5KGDK""",-,b0cv2z2n6h,33,1,3.0303%,¥140.00,¥140.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 04, 2025",美容液 - 2025/3/30 1:29:14.608,0330　アゼライン酸　美容液,"asin-expanded=""B07QM5KGDK""",-,b0d3llz1m3,180,3,1.6667%,¥138.61,¥415.83,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 04, 2025",美容液 - 2025/3/30 1:29:14.608,0330　アゼライン酸　美容液,"asin-expanded=""B07QM5KGDK""",-,b0d9lx5n3z,223,2,0.8969%,¥138.41,¥276.82,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 04, 2025",美容液 - 2025/3/30 1:29:14.608,0330　アゼライン酸　美容液,"asin-expanded=""B07QM5KGDK""",-,b0dbg2bkcz,469,2,0.4264%,¥140.00,¥280.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 04, 2025",美容液 - 2025/3/30 1:29:14.608,0330　アゼライン酸　美容液,"asin-expanded=""B07QM5KGDK""",-,dvobsns,2,1,50.0000%,¥140.00,¥140.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 04, 2025",美容液 - 2025/3/30 1:29:14.608,0330　アゼライン酸　美容液,"asin-expanded=""B07QM5KGDK""",-,あぜライン酸,39,1,2.5641%,¥140.00,¥140.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 04, 2025",美容液 - 2025/3/30 1:29:14.608,0330　アゼライン酸　美容液,"asin-expanded=""B07QM5KGDK""",-,アゼライン酸 vt,7,1,14.2857%,¥140.00,¥140.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 04, 2025",美容液 - 2025/3/30 1:29:14.608,0330　アゼライン酸　美容液,"asin-expanded=""B07QM5KGDK""",-,アゼライン酸 化粧水,11,1,9.0909%,¥140.00,¥140.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 04, 2025",美容液 - 2025/3/30 1:29:14.608,0330　アゼライン酸　美容液,"asin-expanded=""B07QM5KGDK""",-,アゼライン酸 美容液,68,2,2.9412%,¥140.00,¥280.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 04, 2025",美容液 - 2025/3/30 1:29:14.608,0330　アゼライン酸　美容液,"asin-expanded=""B07QM5KGDK""",-,イハダ 美白,8,1,12.5000%,¥140.00,¥140.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 04, 2025",美容液 - 2025/3/30 1:29:14.608,0330　アゼライン酸　美容液,"asin-expanded=""B07QM5KGDK""",-,ウレパール,6,1,16.6667%,¥140.00,¥140.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 04, 2025",美容液 - 2025/3/30 1:29:14.608,0330　アゼライン酸　美容液,"asin-expanded=""B07QM5KGDK""",-,カカドゥ プライム くすみ クリーム,14,1,7.1429%,¥140.00,¥140.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 04, 2025",美容液 - 2025/3/30 1:29:14.608,0330　アゼライン酸　美容液,"asin-expanded=""B07QM5KGDK""",-,グリコール酸,93,1,1.0753%,¥130.99,¥130.99,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 04, 2025",美容液 - 2025/3/30 1:29:14.608,0330　アゼライン酸　美容液,"asin-expanded=""B07QM5KGDK""",-,グリチルリチン酸,15,1,6.6667%,¥140.00,¥140.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 04, 2025",美容液 - 2025/3/30 1:29:14.608,0330　アゼライン酸　美容液,"asin-expanded=""B07QM5KGDK""",-,デメランクリーム グリコール酸,53,2,3.7736%,¥140.00,¥280.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 04, 2025",美容液 - 2025/3/30 1:29:14.608,0330　アゼライン酸　美容液,"asin-expanded=""B07QM5KGDK""",-,ナンバーズイン3番,87,1,1.1494%,¥140.00,¥140.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 04, 2025",美容液 - 2025/3/30 1:29:14.608,0330　アゼライン酸　美容液,"asin-expanded=""B07QM5KGDK""",-,ナンバーズイン5番,17,1,5.8824%,¥140.00,¥140.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 04, 2025",美容液 - 2025/3/30 1:29:14.608,0330　アゼライン酸　美容液,"asin-expanded=""B07QM5KGDK""",-,ラロッシュポゼ,170,1,0.5882%,¥140.00,¥140.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 04, 2025",美容液 - 2025/3/30 1:29:14.608,0330　アゼライン酸　美容液,"asin-expanded=""B07QM5KGDK""",-,毛穴 引き締め,13,1,7.6923%,¥140.00,¥140.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 04, 2025",美容液 - 2025/3/30 1:29:14.608,0330　アゼライン酸　美容液,"asin-expanded=""B07QM5KGDK""",-,毛穴収縮,1,1,100.0000%,¥131.50,¥131.50,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 04, 2025",美容液 - 2025/3/30 1:29:14.608,0330　アゼライン酸　美容液,"asin-expanded=""B07QM5KGDK""",-,毛穴収縮クリーム,3,1,33.3333%,¥140.00,¥140.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 04, 2025",美容液 - 2025/3/30 1:29:14.608,0330　アゼライン酸　美容液,"asin-expanded=""B07QM5KGDK""",-,混合肌,3,1,33.3333%,¥140.00,¥140.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 04, 2025",美容液 - 2025/3/30 1:29:14.608,0330　アゼライン酸　美容液,"asin-expanded=""B07QM5KGDK""",-,生理 ニキビ,2,1,50.0000%,¥117.01,¥117.01,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 04, 2025",美容液 - 2025/3/30 1:29:14.608,0330　アゼライン酸　美容液,"asin-expanded=""B07QM5KGDK""",-,美容針,1,1,100.0000%,¥140.00,¥140.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 02, 2025",美容液 - 2025/3/30 1:29:14.608,0330　アゼライン酸　美容液,"asin-expanded=""B07QM5KGDK""",-,b08hjd4fbp,427,12,2.8103%,¥123.09,"¥1,477.05","¥6,328.00",23.3415%,4.28,2,2,16.6667%,2,0,"¥6,328.00",¥0.00
"Apr 04, 2025",美容液 - 2025/3/30 1:29:14.608,0330　アゼライン酸　美容液,"asin-expanded=""B0DCGDL4LZ""",-,b09m2xfrcf,101,2,1.9802%,¥130.00,¥260.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 04, 2025",美容液 - 2025/3/30 1:29:14.608,0330　アゼライン酸　美容液,"asin-expanded=""B0DCGDL4LZ""",-,b09ydccjbj,636,2,0.3145%,¥130.00,¥260.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 04, 2025",美容液 - 2025/3/30 1:29:14.608,0330　アゼライン酸　美容液,"asin-expanded=""B0DCGDL4LZ""",-,b0bgwxb1w1,28,1,3.5714%,¥130.00,¥130.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 04, 2025",美容液 - 2025/3/30 1:29:14.608,0330　アゼライン酸　美容液,"asin-expanded=""B0DCGDL4LZ""",-,b0cp66lcn5,53,1,1.8868%,¥130.00,¥130.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 04, 2025",美容液 - 2025/3/30 1:29:14.608,0330　アゼライン酸　美容液,"asin-expanded=""B0DCGDL4LZ""",-,b0d3tk3hs3,27,2,7.4074%,¥130.00,¥260.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 04, 2025",美容液 - 2025/3/30 1:29:14.608,0330　アゼライン酸　美容液,"asin-expanded=""B0DCGDL4LZ""",-,b0dg2d45b8,81,2,2.4691%,¥107.25,¥214.50,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 04, 2025",美容液 - 2025/3/30 1:29:14.608,0330　アゼライン酸　美容液,"asin-expanded=""B0DCGDL4LZ""",-,b0dg5pcjtp,47,1,2.1277%,¥130.00,¥130.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 04, 2025",美容液 - 2025/3/30 1:29:14.608,0330　アゼライン酸　美容液,"asin-expanded=""B0DCGDL4LZ""",-,b0djnprjtk,27,2,7.4074%,¥118.47,¥236.93,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 04, 2025",美容液 - 2025/3/30 1:29:14.608,0330　アゼライン酸　美容液,"asin-expanded=""B0DCGDL4LZ""",-,グリチルリチン酸,5,1,20.0000%,¥130.00,¥130.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 04, 2025",美容液 - 2025/3/30 1:29:14.608,0330　アゼライン酸　美容液,"asin-expanded=""B0DCGDL4LZ""",-,リデンス 美容液,3,1,33.3333%,¥130.00,¥130.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 04, 2025",美容液 - 2025/3/30 1:29:14.608,0330　アゼライン酸　美容液,"asin-expanded=""B0DCGDL4LZ""",-,松山油脂,30,1,3.3333%,¥130.00,¥130.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 04, 2025",検索ワード - 2025/3/30 3:49:42.662,毛穴グループ - 2025/3/30 3:49:36.820,ニキビ,PHRASE,漢方 ニキビ,7,1,14.2857%,¥50.00,¥50.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 04, 2025",検索ワード - 2025/3/30 3:49:42.662,毛穴グループ - 2025/3/30 3:49:36.820,グリシルグリシン,EXACT,グリシルグリシン,1837,5,0.2722%,¥137.34,¥686.70,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 04, 2025",検索ワード - 2025/3/30 3:49:42.662,毛穴グループ - 2025/3/30 3:49:36.820,毛穴ケア,EXACT,毛穴ケア,466,6,1.2876%,¥162.82,¥976.94,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 03, 2025",キャンペーン - 2025/3/25 19:06:41.618,関連商品 - 2025/3/25 19:06:34.222,"asin-expanded=""B0CTYX8HB6""",-,b07s9p1r3c,13,1,7.6923%,¥100.00,¥100.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 03, 2025",キャンペーン - 2025/3/25 19:06:41.618,関連商品 - 2025/3/25 19:06:34.222,"asin-expanded=""B0CTYX8HB6""",-,b0bwx4tcy7,56,1,1.7857%,¥100.00,¥100.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 03, 2025",キャンペーン - 2025/3/25 19:06:41.618,関連商品 - 2025/3/25 19:06:34.222,"asin-expanded=""B0CTYX8HB6""",-,b0d59675p4,39,1,2.5641%,¥100.00,¥100.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 03, 2025",キャンペーン - 2025/3/25 19:06:41.618,関連商品 - 2025/3/25 19:06:34.222,"asin-expanded=""B0CTYX8HB6""",-,しみとりクリーム最強,23,1,4.3478%,¥100.00,¥100.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 03, 2025",キャンペーン - 2025/3/25 19:06:41.618,関連商品 - 2025/3/25 19:06:34.222,"asin-expanded=""B0CTYX8HB6""",-,色素沈着治すクリーム,11,1,9.0909%,¥100.00,¥100.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 03, 2025",キャンペーン - 2025/3/25 19:06:41.618,関連商品 - 2025/3/25 19:06:34.222,"asin-expanded=""B0D8J31NVZ""",-,フジドリームエアラインズ,7,1,14.2857%,¥80.32,¥80.32,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 01, 2025",美容液 - 2025/3/30 1:29:14.608,0330　アゼライン酸　美容液,"asin-expanded=""B0DCGDL4LZ""",-,b08hjd4fbp,10,1,10.0000%,¥94.12,¥94.12,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 03, 2025",キャンペーン - 2025/3/25 19:06:41.618,関連商品 - 2025/3/25 19:06:34.222,"asin-expanded=""B0C8JDQHK2""",-,b07xmf3zz8,1,1,100.0000%,¥50.00,¥50.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 03, 2025",キャンペーン - 2025/3/25 19:06:41.618,関連商品 - 2025/3/25 19:06:34.222,"asin-expanded=""B0C8JDQHK2""",-,b0bg794fyw,3,1,33.3333%,¥50.00,¥50.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 03, 2025",キャンペーン - 2025/3/25 19:06:41.618,関連商品 - 2025/3/25 19:06:34.222,"asin-expanded=""B0C8JDQHK2""",-,dela cruz クリーム,4,1,25.0000%,¥50.00,¥50.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 03, 2025",キャンペーン - 2025/3/25 19:06:41.618,関連商品 - 2025/3/25 19:06:34.222,"asin-expanded=""B0C8JDQHK2""",-,サリチル酸,5,1,20.0000%,¥50.00,¥50.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 03, 2025",キャンペーン - 2025/3/25 19:06:41.618,関連商品 - 2025/3/25 19:06:34.222,"asin-expanded=""B0C8JDQHK2""",-,ザ カリフォルニア,4,1,25.0000%,¥36.13,¥36.13,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 03, 2025",キャンペーン - 2025/3/25 19:06:41.618,関連商品 - 2025/3/25 19:06:34.222,"asin-expanded=""B08HGZ5XPH""",-,b08hgz5xph,41,2,4.8780%,¥80.68,¥161.36,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 03, 2025",キャンペーン - 2025/3/25 19:06:41.618,関連商品 - 2025/3/25 19:06:34.222,"asin-expanded=""B08HGZ5XPH""",-,アンゼルム キーファー,1,1,100.0000%,¥92.00,¥92.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 03, 2025",キャンペーン - 2025/3/25 19:06:41.618,関連商品 - 2025/3/25 19:06:34.222,"asin-expanded=""B0CHRQ5VB1""",-,b0cp66lcn5,3,1,33.3333%,¥50.00,¥50.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 03, 2025",美容液 - 2025/3/30 1:29:14.608,0330　アゼライン酸　美容液,"asin-expanded=""B0CKHRF5L6""",-,b0d1jjqf93,17,1,5.8824%,¥100.00,¥100.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
